player_name,season,competition,appearances,starts,minutes,goals,assists,yellow_cards,red_cards,position,source_provider,source_url,last_verified_at
Alessandro Noselli,2008/09,Serie B,35,31,,16,0,3,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Riccardo Zampagna,2008/09,Serie B,35,34,,11,0,9,1,F,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Emiliano Salvetti,2008/09,Serie B,37,33,,6,0,2,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Andrea Poli,2008/09,Serie B,30,21,,5,0,4,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Daniele Martinetti,2008/09,Serie B,13,5,652,3,0,2,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Horacio Erpen,2008/09,Serie B,27,14,,3,0,5,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Filippo Pensalfini,2008/09,Serie B,30,19,,3,0,8,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Gaetano Masucci,2008/09,Serie B,34,22,,3,0,4,0,F,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Stefano Pagani,2008/09,Serie B,24,11,,2,0,0,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Angelo Rea,2008/09,Serie B,29,29,,2,0,10,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Marco Andreolli,2008/09,Serie B,26,26,,1,0,4,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Alberto Pomini,2008/09,Serie B,1,0,90,0,0,0,0,G,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
William Jidayi,2008/09,Serie B,2,0,,0,0,0,0,"M, D",StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Sebastiano Girelli,2008/09,Serie B,5,5,386,0,0,1,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Andy Selva,2008/09,Serie B,6,0,106,0,0,1,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Francesco Della Rocca,2008/09,Serie B,7,1,143,0,0,0,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Alessandro Bastrini,2008/09,Serie B,9,7,737,0,0,0,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Attila Filkor,2008/09,Serie B,10,0,185,0,0,1,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Nicolò Consolini,2008/09,Serie B,17,13,,0,0,1,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Marco Piccioni,2008/09,Serie B,21,21,,0,0,5,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Massimiliano Fusani,2008/09,Serie B,27,16,,0,0,4,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Nicola Donazzan,2008/09,Serie B,30,30,,0,0,8,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Fabrizio Anselmi,2008/09,Serie B,31,28,2457,0,0,10,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Francesco Magnanelli,2008/09,Serie B,35,34,,0,0,9,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
Walter Bressan,2008/09,Serie B,40,40,,0,0,2,0,G,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2008,2026-08-10
