player_name,season,competition,appearances,starts,minutes,goals,assists,yellow_cards,red_cards,source_provider,source_external_id,source_url
Mehdi Bourabia,2020/21,Serie A,15,4,,1,,,,StatBunker,29508,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=676&club_id=1788
Lukáš Haraslín,2020/21,Serie A,14,2,,,,,,StatBunker,45811,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=676&club_id=1788
Francesco Magnanelli,2020/21,Serie A,10,7,,,,,,StatBunker,44244,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=676&club_id=1788
Federico Peluso,2020/21,Serie A,6,2,,,,,,StatBunker,30446,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=676&club_id=1788
Brian Oddei,2020/21,Serie A,5,,,,,,,StatBunker,63824,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=676&club_id=1788
Gianluca Pegolo,2020/21,Serie A,1,1,,,,,,StatBunker,4458,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=676&club_id=1788
Federico Ricci,2020/21,Serie A,1,,,,,,,StatBunker,41783,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=676&club_id=1788
Nicolas Schiappacasse,2020/21,Serie A,1,,,,,,,StatBunker,55469,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=676&club_id=1788
Isaac Karamoko,2020/21,Serie A,1,,,,,,,StatBunker,64097,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=676&club_id=1788
Grégoire Defrel,2021/22,Serie A,38,11,,2,,,,StatBunker,48752,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Andrea Consigli,2021/22,Serie A,37,37,,,,,,StatBunker,29524,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Gianmarco Ferrari,2021/22,Serie A,36,35,,1,,,,StatBunker,53652,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Davide Frattesi,2021/22,Serie A,36,35,,4,,,,StatBunker,54997,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Giacomo Raspadori,2021/22,Serie A,36,32,,10,,,,StatBunker,60339,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Gianluca Scamacca,2021/22,Serie A,36,25,,16,,,,StatBunker,57084,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Maxime Lopez,2021/22,Serie A,35,33,,2,,,,StatBunker,52490,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Domenico Berardi,2021/22,Serie A,33,33,,15,,,,StatBunker,44251,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Mert Muldur,2021/22,Serie A,31,24,,,,,,StatBunker,59299,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Hamed Junior Traore,2021/22,Serie A,31,21,,7,,,,StatBunker,58783,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Vlad Chiriches,2021/22,Serie A,29,27,,,,,,StatBunker,39844,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Georgios Kyriakopoulos,2021/22,Serie A,29,22,,,,,,StatBunker,61582,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Matheus Henrique,2021/22,Serie A,25,10,,,,,,StatBunker,65524,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Rogerio,2021/22,Serie A,23,19,,,,,,StatBunker,57285,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Kaan Ayhan,2021/22,Serie A,23,14,,1,,,,StatBunker,16743,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Abdou Harroui,2021/22,Serie A,22,3,,,,,,StatBunker,57753,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Jeremy Toljan,2021/22,Serie A,20,15,,,,,,StatBunker,19893,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Filip Djuricic,2021/22,Serie A,12,9,,2,,,,StatBunker,42062,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Jeremie Boga,2021/22,Serie A,12,8,,,,,,StatBunker,50383,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Francesco Magnanelli,2021/22,Serie A,12,2,,,,,,StatBunker,44244,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Ruan,2021/22,Serie A,10,,,,,,,StatBunker,65525,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Emil Konradsen Ceide,2021/22,Serie A,6,,,,,,,StatBunker,58697,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Francesco Caputo,2021/22,Serie A,2,2,,,,,,StatBunker,36540,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Brian Oddei,2021/22,Serie A,2,,,,,,,StatBunker,63824,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Federico Peluso,2021/22,Serie A,2,,,,,,,StatBunker,30446,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Luigi Samele,2021/22,Serie A,2,,,,,,,StatBunker,64477,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Gianluca Pegolo,2021/22,Serie A,1,1,,,,,,StatBunker,4458,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Edoardo Goldaniga,2021/22,Serie A,1,,,,,,,StatBunker,43188,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
Giacomo Satalino,2021/22,Serie A,1,,,,,,,StatBunker,53052,https://dr.statbunker.com/competitions/SeasonAppearances?comp_id=696&club_id=1788
