player_name,position,season,competition,appearances,starts,minutes,goals,assists,yellow_cards,red_cards,source_provider,source_url,last_verified_at
Gianluca Sansone,F,2011/12,Serie B,38,34,2980,20,8,2,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Richmond Boakye,F,2011/12,Serie B,33,19,,10,0,2,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Ettore Marchi,"F, M",2011/12,Serie B,29,17,1429,5,3,2,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Gennaro Troianiello,F,2011/12,Serie B,14,2,517,5,2,1,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Gaetano Masucci,F,2011/12,Serie B,19,12,1221,4,4,4,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Simone Missiroli,M,2011/12,Serie B,20,20,1640,2,3,3,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Emanuele Terranova,D,2011/12,Serie B,32,32,2802,3,0,4,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Salvatore Bruno,F,2011/12,Serie B,12,5,408,2,1,0,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Carl Valeri,M,2011/12,Serie B,29,25,2264,2,1,4,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Marcello Gazzola,"D, M",2011/12,Serie B,15,11,1045,1,2,0,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Francesco Magnanelli,M,2011/12,Serie B,36,32,2870,0,4,9,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Alessandro Longhi,D,2011/12,Serie B,40,40,3460,1,1,4,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Karim Laribi,M,2011/12,Serie B,7,2,270,1,0,2,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Isaac Cofie,M,2011/12,Serie B,34,28,,1,0,5,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Tommaso Bianchi,M,2011/12,Serie B,29,22,1713,0,2,5,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Nicolò Consolini,,2011/12,Serie B,30,19,1832,0,2,1,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Alessandro Noselli,,2011/12,Serie B,5,0,83,0,1,0,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Lorenzo Laverone,"D, M",2011/12,Serie B,21,17,1533,0,1,2,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Alberto Vaccari,,2011/12,Serie B,1,1,,0,0,0,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Angelo Rea,D,2011/12,Serie B,3,2,157,0,0,1,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Michele Troiano,M,2011/12,Serie B,3,3,193,0,0,0,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Diego Falcinelli,F,2011/12,Serie B,3,0,22,0,0,0,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Nicola Donazzan,D,2011/12,Serie B,3,0,23,0,0,0,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Paolo Bianco,D,2011/12,Serie B,19,17,1480,0,0,2,1,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Marco Piccioni,D,2011/12,Serie B,31,30,2692,0,0,3,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Lino Marzorati,D,2011/12,Serie B,34,30,2832,0,0,5,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
Alberto Pomini,G,2011/12,Serie B,42,42,3780,0,0,1,0,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2011,2026-08-09
