external_key,date,season,competition,round,home_team,away_team,home_score,away_score,halftime_score,completeness_level,source_provider,source_url,last_verified_at
coppa-italia-2013-14|2013-08-17|Novara|Sassuolo,2013-08-17T20:45:00+02:00,2013/14,Coppa Italia,Terzo turno,Novara,Sassuolo,1,3,0-1,STANDARD,La Stampa + ESPN,https://www.lastampa.it/novara/2013/08/17/news/coppa-italia-il-novara-si-arrende-al-sassuolo-solo-ai-supplementari-1-3-1.36063548,2026-08-11
coppa-italia-2013-14|2013-12-04|Atalanta|Sassuolo,2013-12-04T18:00:00+01:00,2013/14,Coppa Italia,Quarto turno,Atalanta,Sassuolo,2,0,0-0,STANDARD,ESPN + SassuoloOnline,https://www.espn.in/football/match/_/gameId/380079/sassuolo-atalanta,2026-08-11
