external_key,date,season,competition,round,home_team,away_team,home_score,away_score,halftime_score,scorers,cards,stadium,attendance,referee,corners_home,corners_away,completeness_level,source_provider,source_url,last_verified_at
supercoppa-serie-c-2007-08|2008-05-11|Sassuolo|Salernitana,2008-05-11,2007/08,Supercoppa di Serie C,Finale andata,Sassuolo,Salernitana,0,1,,"Emanuele Ferraro 65' (Salernitana)",,Stadio Enzo Ricci,1600,Alberto Baracani,,,STANDARD,"RSSSF + Sassuolo 2000 + Salernitana News + Transfermarkt",https://www.rsssf.org/tablesi/ital3supcuphist.html,2026-08-12
supercoppa-serie-c-2007-08|2008-05-15|Salernitana|Sassuolo,2008-05-15,2007/08,Supercoppa di Serie C,Finale ritorno,Salernitana,Sassuolo,0,1,,"Andy Selva 25' (Sassuolo); Sassuolo vince 5-4 ai rigori","Giuseppe Russo espulso 90+1' (Salernitana)",Stadio Arechi,10000,Sebastiano Peruzzo,,,STANDARD,"RSSSF + Sassuolo 2000 + Salernitana News + Transfermarkt",https://www.rsssf.org/tablesi/ital3supcuphist.html,2026-08-12
