external_key,date,season,competition,round,home_team,away_team,home_score,away_score,halftime_score,scorers,cards,stadium,attendance,referee,corners_home,corners_away,completeness_level,source_provider,source_url,last_verified_at
serie-b-playoff-2009-10|2010-06-02|Torino|Sassuolo,2010-06-02T18:30:00+02:00,2009/10,Serie B playoff,Semifinale andata,Torino,Sassuolo,1,1,0-1,"Daniele Martinetti 30' (Sassuolo); Rolando Bianchi 73' (Torino)","Alessandro Noselli (Sassuolo); Francesco Magnanelli (Sassuolo); Agostino Gorzegno (Sassuolo); Luigi Riccio (Sassuolo); Maurizio Fusani (Sassuolo)",Stadio Olimpico di Torino,18429,Mauro Bergonzi,,,STANDARD,"Toro.it + Sky Sports + Bologna 2000 + Sassuolo Calcio",https://www.toro.it/archivio/7144-2-giugno-2010-la-mancata-liberazione-granata/10238/,2026-08-12
serie-b-playoff-2009-10|2010-06-06|Sassuolo|Torino,2010-06-06T21:00:00+02:00,2009/10,Serie B playoff,Semifinale ritorno,Sassuolo,Torino,1,2,1-1,"Luigi Scaglia 3' (Torino); Daniele Martinetti 24' (Sassuolo); Rolando Bianchi 51' (Torino)","Jonathan Rossini espulso 90+4' (Sassuolo); Francesco Magnanelli (Sassuolo); Mauro Minelli (Sassuolo); Andrea Donazzan (Sassuolo); Daniele Quadrini (Sassuolo); Matteo Garofalo (Torino); Danilo D'Ambrosio (Torino); Davide Morello (Torino); Rolando Bianchi (Torino); Simone Loria (Torino)",Stadio Alberto Braglia,9385,Daniele Orsato,3,3,STANDARD,"Toro News + Sky Sport + Sassuolo 2000 + Sassuolo Calcio",https://www.toronews.net/toro/sassuolo-torino-lalbum-dei-ricordi-quante-vittorie-targate-granata/2,2026-08-12
