source_name,canonical_name,entity_type,note
Sassuolo,U.S. Sassuolo Calcio,team,Alias già censito nel database
Modena FC,Modena,team,Forma canonica usata dalle fixture storiche
Cagliari Calcio,Cagliari,team,Forma canonica usata dalle fixture storiche
