player_name,season,competition,appearances,minutes,starts,substitutes_in,substitutes_out,goals,yellow_cards,yellow_red_cards,red_cards,position,source_provider,source_url,last_verified_at
Tommaso Bianchi,2011/12,Serie B,29,1730,22,7,16,0,5,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Richmond Boakye,2011/12,Serie B,32,1650,19,13,18,10,2,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Simone Missiroli,2011/12,Serie B,20,1648,20,0,8,2,3,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Lorenzo Laverone,2011/12,Serie B,21,1529,17,4,6,0,2,0,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Paolo Bianco,2011/12,Serie B,19,1480,17,2,1,0,2,0,1,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Ettore Marchi,2011/12,Serie B,29,1441,17,12,12,5,2,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Gaetano Masucci,2011/12,Serie B,19,1235,12,7,5,4,4,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Marcello Gazzola,2011/12,Serie B,15,1047,11,4,3,1,0,0,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Gennaro Troianiello,2011/12,Serie B,14,516,2,12,1,5,1,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Salvatore Bruno,2011/12,Serie B,12,414,5,7,5,2,0,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Karim Laribi,2011/12,Serie B,7,271,2,5,2,1,3,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Michele Troiano,2011/12,Serie B,3,195,3,0,2,0,0,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Angelo Rea,2011/12,Serie B,3,158,2,1,1,0,1,0,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Alberto Vaccari,2011/12,Serie B,1,90,1,0,0,0,0,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Alessandro Noselli,2011/12,Serie B,5,83,0,5,0,0,0,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Nicola Donazzan,2011/12,Serie B,3,23,0,3,0,0,0,0,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Diego Falcinelli,2011/12,Serie B,3,22,0,3,0,0,0,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
