player_name,season,competition,appearances,minutes,starts,substitutes_in,substitutes_out,goals,yellow_cards,yellow_red_cards,red_cards,position,source_provider,source_url,last_verified_at
Alberto Pomini,2011/12,Serie B,42,3780,42,0,0,0,2,0,0,G,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Alessandro Longhi,2011/12,Serie B,40,3468,40,0,7,1,4,0,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Gianluca Sansone,2011/12,Serie B,38,2993,34,4,13,20,2,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Francesco Magnanelli,2011/12,Serie B,36,2871,32,4,2,0,9,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Lino Marzorati,2011/12,Serie B,34,2833,30,4,1,0,5,1,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Emanuele Terranova,2011/12,Serie B,32,2806,32,0,4,3,4,0,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Marco Piccioni,2011/12,Serie B,31,2693,30,1,1,0,3,0,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Isaac Cofie,2011/12,Serie B,35,2581,28,7,6,1,5,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Carl Valeri,2011/12,Serie B,29,2267,25,4,3,2,4,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Nicolò Consolini,2011/12,Serie B,30,1835,19,11,3,0,1,0,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
