player_name,season,competition,appearances,starts,minutes,goals,assists,yellow_cards,yellow_red_cards,red_cards,position,source_provider,source_url,last_verified_at
Alberto Pomini,2011/12,Serie B,42,42,3780,0,0,2,0,0,G,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Alessandro Longhi,2011/12,Serie B,40,40,3468,1,1,4,0,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Gianluca Sansone,2011/12,Serie B,38,34,2993,20,8,2,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Francesco Magnanelli,2011/12,Serie B,36,32,2871,0,4,9,0,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Lino Marzorati,2011/12,Serie B,34,30,2833,0,0,5,1,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Emanuele Terranova,2011/12,Serie B,32,32,2806,3,0,4,0,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Marco Piccioni,2011/12,Serie B,31,30,2693,0,0,3,0,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Isaac Cofie,2011/12,Serie B,35,28,2581,1,0,5,0,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Carl Valeri,2011/12,Serie B,29,25,2267,2,1,4,0,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Nicolò Consolini,2011/12,Serie B,30,19,1835,0,2,1,0,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Tommaso Bianchi,2011/12,Serie B,29,22,1730,0,2,5,0,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Richmond Boakye,2011/12,Serie B,32,19,1650,10,0,2,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Simone Missiroli,2011/12,Serie B,20,20,1648,2,3,3,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Lorenzo Laverone,2011/12,Serie B,21,17,1529,0,1,2,0,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Paolo Bianco,2011/12,Serie B,19,17,1480,0,0,2,0,1,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Ettore Marchi,2011/12,Serie B,29,17,1441,5,3,2,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Gaetano Masucci,2011/12,Serie B,19,12,1235,4,4,4,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Marcello Gazzola,2011/12,Serie B,15,11,1047,1,2,0,0,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Gennaro Troianiello,2011/12,Serie B,14,2,516,5,2,1,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
Salvatore Bruno,2011/12,Serie B,12,5,414,2,1,0,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se7203/2011-2012/statistics-matches/,2026-08-10
