provider_player_id,provider_player_name,reep_id,reep_name,date_of_birth,key_sofascore,key_api_football,local_player_id,local_player_name,status,confidence,source_url,last_verified_at
25405,Maxime Gonalons,reep_p68a95b34,Maxime Gonalons,1989-03-10,,2051,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20422,Maximiliano Gastón López,reep_p3c039caa,Maxi López,1984-04-03,17611,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
116225,Maximiliano Martín Olivera De Andrea,reep_p5accbd3a,Maximiliano Olivera,1992-03-05,,70757,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20579,Medhi Amine El Mouttaqi Benatia,reep_p2fc1a079,Medhi Benatia,1987-04-17,27068,2708,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
449978,Mehdi Pascal Marcel Léris,reep_p91ff57df,Mehdi Léris,1998-05-23,851222,30753,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
490626,Michele Cerofolini,reep_pa5df8c91,Michele Cerofolini,1999-01-04,869273,57053,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21725,Michele Cremonesi,reep_pd7e33db4,Michele Cremonesi,1988-04-15,76038,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21288,Miguel Luís Pinto Veloso,reep_pd191074a,Miguel Veloso,1986-05-11,,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
69400,Milan Badelj,reep_pb4b2de35,Milan Badelj,1989-02-25,39482,1850,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
138408,Milan Škriniar,reep_pbeb233fb,Milan Škriniar,1995-02-11,187205,198,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20443,Miralem Pjanić,reep_p31277b4d,Miralem Pjanić,1990-04-02,27678,872,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21114,Mirco Antenucci,reep_p96646f98,Mirco Antenucci,1984-09-08,,30876,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
405602,Mirko Antonucci,reep_pcbf41796,Mirko Antonucci,1999-03-11,826196,31497,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21019,Mirko Valdifiori,reep_p6c6e6c36,Mirko Valdifiori,1986-04-21,43941,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
328336,Mohamed Salim Fares,reep_p1125888e,Mohamed Farès,1996-02-15,556960,30859,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
410031,Moise Bioty Kean,reep_p817b9173,Moise Kean,2000-02-28,835601,877,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
419204,Moussa Diaby,reep_p9020d2c4,Moussa Diaby,1999-07-07,855817,277,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
491409,Musa Barrow,reep_p7460645e,Musa Barrow,1998-11-14,916680,30437,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20748,Nenad Tomović,reep_p7921e154,Nenad Tomović,1987-08-30,38574,30745,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21959,Niccolò Giannetti,reep_p4146cf91,Niccolò Giannetti,1991-05-12,806019,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
402014,Niccolò Zanellato,reep_p0309a05a,Niccolò Zanellato,1998-06-24,845023,30997,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
415348,Nicholas Pierini,reep_pbc144393,Nicholas Pierini,1998-08-06,829581,30849,3345,Nicholas Pierini,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
20869,Nicola Murru,reep_p153ba3e4,Nicola Murru,1994-12-16,148745,30447,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21148,Nicola Rigoni,reep_p5958a9d1,Nicola Rigoni,1990-11-12,,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20429,Nicolás Andrés Burdisso,,,,,,,,reep_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21298,Nicolas David Andrade ,reep_p75f5d130,Nícolas Andrade David,1988-04-12,,30792,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21072,Nicolás Federico Spolli,reep_p8f58b8e5,Nicolás Federico Spolli,1983-02-20,,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
342075,Nicolas Haas,reep_p60651179,Nicolas Haas,1996-01-23,587126,31555,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
25558,Nicolas N'Koulou,,,,,,,,reep_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
286223,Nicolò Barella,reep_p552491d0,Nicolò Barella,1997-02-07,,30558,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
105376,Nikola Kalinić,reep_p807910c8,Nikola Kalinić,1988-01-05,,57,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
127524,Nikola Maksimović,reep_p77daf158,Nikola Maksimović,1991-11-25,68076,320,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
424241,Nikola Milenković,reep_p53d19816,Nikola Milenković,1997-10-12,836168,2817,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
405880,Ognjen Stijepović,reep_p1d5ae40f,Ognjen Stijepović,1999-10-22,843263,30457,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
16922,Oliver Kragl,reep_p1a5045af,Oliver Kragl,1990-05-12,86364,31652,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
403272,Orji Okwonkwo,reep_p1955452b,Orji Okwonkwo,1998-01-19,822482,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
50807,Pa Momodou Konate,reep_p21828065,Pa Konate,1994-04-25,307462,48163,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21162,Paolo Cannavaro,reep_pd9c269cb,Paolo Cannavaro,1981-06-26,2979,,3307,Paolo Cannavaro,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
220359,Paolo Pancrazio Faragò,reep_pa6ed20f8,Paolo Faragò,1993-02-12,,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20911,Pasquale Schiattarella,reep_p0d9cec3a,Pasquale Schiattarella,1987-05-30,21264,30871,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
4792,Patricio Gabarrón Gil,reep_p757a7743,Patricio Gabarrón,1993-04-17,217784,1841,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
351010,Patrick Cutrone,reep_p3f180dd0,Patrick Cutrone,1998-01-03,795044,1649,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
234359,Patrik Schick,reep_pf90adee0,Patrik Schick,1996-01-24,280609,794,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
89186,Paulo Bruno Exequiel Dybala,reep_pdb291700,Paulo Dybala,1993-11-15,256219,875,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
240039,Paweł Bochniewicz,reep_p00ff1463,Paweł Bochniewicz,1996-01-30,286097,40224,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
269188,Paweł Jaroszyński,reep_p5e065212,Paweł Jaroszyński,1994-10-02,335823,30740,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20653,Perparim Hetemaj,reep_pcc80c6aa,Përparim Hetemaj,1986-12-12,7472,30750,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
69658,Petar Brlek,reep_p00f255af,Petar Brlek,1994-01-29,,48404,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
372079,Petko Hristov,reep_p2fc7b097,Petko Hristov,1999-03-01,832076,31258,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
264084,Pierluigi Gollini,reep_paaa9c1ec,Pierluigi Gollini,1995-03-18,329175,30418,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
22135,Pietro Iemmello,reep_pab0911f8,Pietro Iemmello,1992-03-06,137665,31660,3336,Pietro Iemmello,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
481329,Pietro Pellegri,reep_p14d398f4,Pietro Pellegri,2001-03-17,839226,123,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
99902,Piotr Zieliński,reep_p539c0e71,Piotr Zieliński,1994-05-20,138605,329,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
354123,Pol Mikel Lirola Kosok,reep_pb940ec57,Pol Lirola,1997-08-13,844480,30525,210,Pol Lirola,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
20879,Radja Nainggolan,reep_pac212e26,Radja Nainggolan,1988-05-04,,205,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21299,Rafael  de Andrade Bittencourt Pinheiro,reep_pb1a27c21,Rafael de Andrade Bittencourt Pinheiro,1982-03-03,,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
3344,Rafael Alcântara do Nascimento,reep_p81bb5932,Rafinha,1993-02-12,,500,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
40774,Rafael Cabral Barbosa,reep_p9928d9bd,Rafael Cabral,1990-05-20,124980,30443,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
41034,Rafael Tolói,reep_p0bc321d7,Rafael Tolói,1990-10-10,82943,30429,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20506,Raffaele Palladino,reep_p4c4eae1e,Raffaele Palladino,1984-04-17,11591,31469,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
361214,Rafik Zekhnini,reep_pccd11bd2,Rafik Zekhnini,1998-01-12,793525,36852,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
3300,Raúl Albiol Tortajada,reep_p49a8bd82,Raúl Albiol,1985-09-04,3041,314,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
49991,Remo Freuler,reep_p523eb678,Remo Freuler,1992-04-15,115516,2807,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
14922,Ricardo Iván Rodríguez Araya,reep_pbcc14303,Ricardo Rodriguez,1992-08-25,67769,1631,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
507570,Riccardo Daga,reep_p8edc6607,Riccardo Daga,2000-01-13,882627,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21119,Riccardo Meggiorini,reep_pbb03de11,Riccardo Meggiorini,1985-09-04,43932,30758,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20943,Riccardo Montolivo,reep_p9f15e490,Riccardo Montolivo,1985-01-18,1830,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
373768,Riccardo Orsolini,reep_pfb41b12f,Riccardo Orsolini,1997-01-24,793645,30488,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21025,Riccardo Saponara,reep_p42b9ee3b,Riccardo Saponara,1991-12-21,,30456,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
289122,Rick Karsdorp,reep_p3be44aca,Rick Karsdorp,1995-02-11,363792,770,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
268180,Rijad Bajić,reep_pb0780849,Riad Bajić,1994-05-06,331751,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
241676,Roberto Gagliardini,reep_p0ce2de21,Roberto Gagliardini,1994-04-07,287057,203,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21438,Roberto Inglese,reep_p6ba95f0f,Roberto Inglese,1991-11-12,,31031,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
295176,Robin Gosens,reep_pa5384684,Robin Gosens,1994-07-05,377118,30422,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
361807,Rodrigo Bentancur Colmán,reep_pd7fcf228,Rodrigo Bentancur,1997-06-25,791190,863,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
213948,Rodrigo Javier de Paul,reep_p0f820fed,Rodrigo De Paul,1994-05-24,249399,2472,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
21296,Rodrigo Sebastián Palacio,reep_pc90fa536,Rodrigo Palacio,1982-02-05,15529,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
403449,Rogério Oliveira da Silva,reep_p632194c3,Rogério,1998-01-13,830551,30527,231,Rogério,unique_name_match,reviewed_exact_name,https://github.com/withqwerty/reep,2026-08-13
337225,Rolando Aarons,reep_p37afb6f0,Rolando Aarons,1995-11-16,,19386,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
302799,Rolando Mandragora,reep_p099fc1a1,Rolando Mandragora,1997-06-29,548178,30810,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20935,Rômulo  Souza Orestes Caldeira,reep_p464b7480,Rômulo,1987-05-22,,9281,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20949,Ryder Matos Santos,reep_p25bae534,Ryder Matos,1993-02-27,171677,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
350992,Sadiq Umar,reep_pc6d6bc13,Sadiq Umar,1997-02-02,754710,31406,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
116394,Salvador Ichazo Fernández,reep_pe86de39b,Salvador Ichazo,1992-01-26,,30493,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
25421,Salvatore Sirigu,reep_pc781c54d,Salvatore Sirigu,1987-01-12,,30495,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
3318,Sami Khedira,reep_p8ba7805a,Sami Khedira,1987-04-04,4726,,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
248950,Samir Caetano de Souza Santos,reep_pa4da8865,Samir,1994-12-05,331405,30795,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
20571,Samir Handanovič,reep_pe7755633,Samir Handanović,1984-07-14,2949,188,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
278813,Samuel Bastien,reep_p55982b70,Samuel Bastien,1996-09-26,352964,2109,,,local_missing,unresolved,https://github.com/withqwerty/reep,2026-08-13
