player_name,season,competition,appearances,starts,minutes,goals,assists,yellow_cards,red_cards,position,source_provider,source_url,last_verified_at
Alessandro Noselli,2009/10,Serie B,39,35,2983,18,2,2,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Daniele Martinetti,2009/10,Serie B,32,24,,10,0,4,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Daniele Quadrini,2009/10,Serie B,35,21,1874,5,10,5,0,"M, F",StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Luigi Riccio,2009/10,Serie B,38,38,3319,4,4,4,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Riccardo Zampagna,2009/10,Serie B,25,12,1265,5,0,2,0,F,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Gaetano Masucci,2009/10,Serie B,26,17,1553,4,1,4,0,F,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Emiliano Salvetti,2009/10,Serie B,28,21,1858,3,2,2,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Jonathan Rossini,2009/10,Serie B,31,29,2612,2,0,6,1,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Tiziano Polenghi,2009/10,Serie B,32,31,2690,2,0,9,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Marco Gorzegno,2009/10,Serie B,26,19,1620,1,2,4,1,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Francesco Magnanelli,2009/10,Serie B,38,37,3243,0,4,7,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Massimiliano Fusani,2009/10,Serie B,29,18,1769,1,1,3,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Nicola Donazzan,2009/10,Serie B,10,8,,1,0,4,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Mario Titone,2009/10,Serie B,18,4,456,1,0,1,0,F,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Gianluigi Bianco,2009/10,Serie B,29,22,2112,1,0,3,0,"D, M",StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Walter Bressan,2009/10,Serie B,37,37,3330,1,0,2,0,G,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Carl Valeri,2009/10,Serie B,15,13,1030,0,1,4,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Giorgio Schiavini,2009/10,Serie B,1,1,69,0,0,0,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Diego Falcinelli,2009/10,Serie B,1,0,9,0,0,0,0,F,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Milan Jirásek,2009/10,Serie B,1,0,21,0,0,0,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Mariano Romano,2009/10,Serie B,1,0,37,0,0,0,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Angelo Rea,2009/10,Serie B,2,1,107,0,0,0,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Alberto Pomini,2009/10,Serie B,5,5,450,0,0,0,0,G,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Attila Filkor,2009/10,Serie B,5,2,197,0,0,0,0,M,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Nicolò Consolini,2009/10,Serie B,18,10,,0,0,2,0,,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Marco Piccioni,2009/10,Serie B,22,17,,0,0,2,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
Mauro Minelli,2009/10,Serie B,40,40,3588,0,0,4,0,D,StatsCrew,https://www.statscrew.com/worldfootball/stats/t-SASCA963/y-2009,2026-08-10
