player_name,season,competition,appearances,minutes,starts,substitutes_in,substitutes_out,goals,yellow_cards,yellow_red_cards,red_cards,position,source_provider,source_url,last_verified_at
Mauro Minelli,2009/10,Serie B,40,3595,40,0,0,0,4,1,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Walter Bressan,2009/10,Serie B,37,3330,37,0,0,1,2,0,0,G,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Luigi Riccio,2009/10,Serie B,38,3327,38,0,7,4,4,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Francesco Magnanelli,2009/10,Serie B,38,3247,37,1,4,0,7,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Alessandro Noselli,2009/10,Serie B,39,3015,35,4,17,18,2,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Tiziano Polenghi,2009/10,Serie B,32,2711,31,1,6,2,9,1,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Jonathan Rossini,2009/10,Serie B,31,2613,29,2,1,2,6,0,1,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Gianluigi Bianco,2009/10,Serie B,29,2119,22,7,5,1,3,1,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Daniele Martinetti,2009/10,Serie B,32,1991,24,8,14,10,4,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Emiliano Salvetti,2009/10,Serie B,28,1870,21,7,11,3,2,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Daniele Quadrini,2009/10,Serie B,35,1844,21,14,16,5,5,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Massimiliano Fusani,2009/10,Serie B,29,1773,18,11,3,1,3,1,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Gaetano Masucci,2009/10,Serie B,26,1636,17,9,10,4,4,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Marco Gorzegno,2009/10,Serie B,26,1630,19,7,7,1,4,1,1,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Marco Piccioni,2009/10,Serie B,22,1619,17,5,0,0,2,1,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Riccardo Zampagna,2009/10,Serie B,25,1267,12,13,5,5,2,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Carl Valeri,2009/10,Serie B,15,1049,13,2,5,0,4,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Nicolò Consolini,2009/10,Serie B,18,931,10,8,3,0,2,0,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Nicola Donazzan,2009/10,Serie B,10,706,8,2,2,1,4,0,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Mario Titone,2009/10,Serie B,18,459,4,14,4,1,1,1,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Alberto Pomini,2009/10,Serie B,5,450,5,0,0,0,0,0,0,G,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Attila Filkor,2009/10,Serie B,5,199,2,3,1,0,0,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Angelo Rea,2009/10,Serie B,2,107,1,1,0,0,0,0,0,D,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Giorgio Schiavini,2009/10,Serie B,1,70,1,0,1,0,0,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Mariano Romano,2009/10,Serie B,1,37,0,1,0,0,0,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Milan Jirásek,2009/10,Serie B,1,21,0,1,0,0,0,0,0,M,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
Diego Falcinelli,2009/10,Serie B,1,9,0,1,0,0,0,0,0,F,WorldFootball.net,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,2026-08-10
