external_key,date,season,competition,round,home_team,away_team,home_score,away_score,halftime_score,scorers,cards,stadium,attendance,referee,corners_home,corners_away,completeness_level,source_provider,source_url,last_verified_at
coppa-italia-2014-15|2014-08-21|Sassuolo|Cittadella,2014-08-21T20:30:00+02:00,2014/15,Coppa Italia,Terzo turno,Sassuolo,Cittadella,4,1,1-1,"Simone Zaza 12' (Sassuolo); Claudio Coralli 33' (Cittadella); Nicola Sansone 53' e 83' (Sassuolo); Antonio Floro Flores 90+3' (Sassuolo)",,Mapei Stadium - Città del Tricolore,1000,Gianluca Rocchi,,,STANDARD,Lega Serie A + Sassuolo 2000 + FBref,https://img.legaseriea.it/vimages/16fdc30118237ec9/cu_26.pdf,2026-08-12
coppa-italia-2014-15|2014-12-02|Sassuolo|Pescara,2014-12-02T18:00:00+01:00,2014/15,Coppa Italia,Quarto turno,Sassuolo,Pescara,1,0,0-0,"Antonio Floro Flores 57' (Sassuolo)","Leonardo Pavoletti (Sassuolo); Luca Antei (Sassuolo); Ransford Selasi (Pescara)",Mapei Stadium - Città del Tricolore,1887,Renzo Candussio,,,STANDARD,La Gazzetta dello Sport + Sky Sport + FCUpdate,https://www.gazzetta.it/Calcio/Coppa-Italia/02-12-2014/coppa-italia-pescara-sassuolo-1-0-tabellino-3-ammoniti-100121292733.shtml,2026-08-12
coppa-italia-2014-15|2015-01-13|Milan|Sassuolo,2015-01-13T21:00:00+01:00,2014/15,Coppa Italia,Ottavi di finale,Milan,Sassuolo,2,1,1-0,"Giampaolo Pazzini 38' (Milan); Nicola Sansone rig. 64' (Sassuolo); Nigel de Jong 86' (Milan)","Paolo Cannavaro (Sassuolo); Luca Antei (Sassuolo); Davide Biondini (Sassuolo); Simone Missiroli (Sassuolo)",Stadio Giuseppe Meazza,8393,Dino Tommasi,8,4,STANDARD,AC Milan + ANSA + Sky Sports + La Gazzetta dello Sport,https://www.ansa.it/sito/notizie/sport/calcio/2015/01/12/coppa-italia-milan-sassuolo-2-1-negli-ottavi.-video-foto.-in-campionato-il-6-gennaio_34d217d6-627e-4986-af3e-f4a3e6db371e.html,2026-08-12
