source_name,canonical_name,entity_type,note
Sassuolo,U.S. Sassuolo Calcio,team,Alias già censito nel database
AC Milan,Milan,team,Forma abbreviata canonica del database
AS Cittadella,Cittadella,team,Forma abbreviata canonica del database
Delfino Pescara 1936,Pescara,team,Forma abbreviata canonica del database
