player_name,season,competition,appearances,starts,minutes,goals,assists,yellow_cards,yellow_red_cards,red_cards,position,source_provider,source_url,last_verified_at
Antonio Bocchetti,2010/11,Serie B,11,8,722,0,0,3,0,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Gianluigi Bianco,2010/11,Serie B,9,7,658,0,0,1,0,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Massimiliano Fusani,2010/11,Serie B,17,7,652,0,1,2,0,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Antonio Cinelli,2010/11,Serie B,5,4,310,0,0,1,0,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Roberto Candido,2010/11,Serie B,1,1,90,0,0,0,0,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Simone Pecorini,2010/11,Serie B,1,1,90,0,0,0,0,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Riccardo Barbuti,2010/11,Serie B,6,0,88,0,0,0,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Andrea Vignali,2010/11,Serie B,4,0,46,0,0,0,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Mario Titone,2010/11,Serie B,2,0,25,0,0,0,0,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Pellegrino Albanese,2010/11,Serie B,1,0,24,0,0,0,0,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Sebastiano Girelli,2010/11,Serie B,1,0,23,0,0,0,0,1,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Vincenzo Ferrara,2010/11,Serie B,1,0,2,0,0,0,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
