player_name,season,competition,appearances,starts,minutes,goals,assists,yellow_cards,yellow_red_cards,red_cards,position,source_provider,source_url,last_verified_at
Francesco Magnanelli,2010/11,Serie B,39,39,3438,2,1,4,0,1,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Andrea De Falco,2010/11,Serie B,35,28,2560,5,0,7,1,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Angelo Rea,2010/11,Serie B,30,27,2340,1,1,6,1,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Andrea Catellani,2010/11,Serie B,33,27,2291,4,3,3,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Luigi Riccio,2010/11,Serie B,34,25,2266,0,0,4,0,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Daniele Quadrini,2010/11,Serie B,33,23,2106,4,0,2,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Alberto Pomini,2010/11,Serie B,23,22,2025,0,0,0,0,0,G,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Paolo Bianco,2010/11,Serie B,26,23,1999,0,0,5,0,1,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Nicolò Consolini,2010/11,Serie B,27,20,1893,1,0,1,0,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Daniele Martinetti,2010/11,Serie B,31,20,1856,7,2,5,0,1,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Nicola Donazzan,2010/11,Serie B,21,20,1811,0,0,2,0,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Carl Valeri,2010/11,Serie B,22,20,1769,0,0,6,0,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Walter Bressan,2010/11,Serie B,20,20,1756,0,0,0,0,0,G,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Jonathan Rossini,2010/11,Serie B,18,18,1583,0,0,7,1,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Michele Troiano,2010/11,Serie B,22,15,1399,3,0,7,1,0,M,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Mauro Minelli,2010/11,Serie B,16,16,1396,0,0,2,0,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Marco Piccioni,2010/11,Serie B,18,14,1363,1,1,4,0,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Tiziano Polenghi,2010/11,Serie B,20,16,1353,0,1,1,0,0,D,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Salvatore Bruno,2010/11,Serie B,22,16,1340,6,1,2,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Alessandro Noselli,2010/11,Serie B,17,14,1278,4,3,3,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
Gaetano Masucci,2010/11,Serie B,18,11,1014,3,0,2,0,0,F,WorldFootball.net + StatsCrew,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/se4311/2010-2011/statistics-matches/,2026-08-10
